1234,Tigana,Guy Gavriel Kay,fantasy,676
1235,Ninth House,Leigh Bardugo,fantasy,458
1236,Holly,Stephen King,horror,480
1237,The Outsider,Stephen King,horror,576
1238,The House Across the Lake,Riley Sanger,mystery,368
1239,The Warm Hands of Ghosts,Katherine Arden,thriller,379
1240,The Midnight Feast,Lucy Foley,mystery,354
1241,The Hunting Party,Lucy Foley,mystery,352
1242,Wool,Hugh Howey,science fiction,592
1243,Shift,Hugh Howey,science fiction,576
1244,Dust,Hugh Howey,science fiction,480
1245,The Echo Wife,Sarah Gailey,science fiction,256
1246,Just Like Home,Sarah Gailey,horror,352